date,ENDF_S_E,ENDS_E,MIDM_FG
1921-02-01,-2,241,78023
1921-03-01,-2.5,247,79194
1921-04-01,-1.75,262,79123
1921-05-01,-1.75,242,80656
1921-06-01,-1.5,271,81287
1921-07-01,-0.875,290,84424
1921-08-01,-1.75,322,86036
1921-09-01,-0.5,405,89732
1921-10-01,-2,690,95731
1921-11-01,-2,1175,103050
1921-12-01,-2.5,770,112932
1922-01-01,-2.5,847,121304
1922-02-01,-2.25,975,124278
1922-03-01,-0.5,1400,131005
1922-04-01,-0.5,1206,143797
1922-05-01,0,1305,152954
1922-06-01,0.5,1500,165835
1922-07-01,10,2677,187331
1922-08-01,150,8500,218723
1922-09-01,300,7100,286134
1922-10-01,2000,17950,389623
1922-11-01,4000,31500,597401
1922-12-01,2000,33200,985451
1923-01-01,17000,125000,1438000
1923-02-01,36000,105000,2704000
1923-03-01,5000,101000,4273000
1923-04-01,15000,136000,5838000
1923-05-01,36000,251000,7113000
1923-06-01,170000,850000,10906000
1923-07-01,1600000,4500000,25492000
1923-08-01,7000000,21000000,116403000
